2024-11-22 14:45:13.378 | DEBUG    | __main__:<module>:3 - 디버그 메시지입니다.
2024-11-22 14:45:13.379 | INFO     | __main__:<module>:4 - 정보 메시지입니다.
2024-11-22 14:45:13.381 | SUCCESS  | __main__:<module>:5 - 모든 것이 잘 작동하고 있습니다!
2024-11-22 14:45:13.382 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:45:13.383 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:45:13.384 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:45:29.994 | DEBUG    | __main__:<module>:3 - 디버그 메시지입니다.
2024-11-22 14:45:29.994 | DEBUG    | __main__:<module>:3 - 디버그 메시지입니다.
2024-11-22 14:45:29.995 | INFO     | __main__:<module>:4 - 정보 메시지입니다.
2024-11-22 14:45:29.995 | INFO     | __main__:<module>:4 - 정보 메시지입니다.
2024-11-22 14:45:29.996 | SUCCESS  | __main__:<module>:5 - 모든 것이 잘 작동하고 있습니다!
2024-11-22 14:45:29.996 | SUCCESS  | __main__:<module>:5 - 모든 것이 잘 작동하고 있습니다!
2024-11-22 14:45:29.997 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:45:29.997 | WARNING  | __main__:<module>:6 - 경고 메시지입니다.
2024-11-22 14:45:29.998 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:45:29.998 | ERROR    | __main__:<module>:7 - 에러 메시지입니다.
2024-11-22 14:45:29.998 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:45:29.998 | CRITICAL | __main__:<module>:8 - 심각한 에러 메시지입니다.
2024-11-22 14:47:11.138 | DEBUG    | __main__:<module>:3 - 디버그 메시지입니다.
2024-11-22 14:47:11.138 | DEBUG    | __main__:<module>:3 - 디버그 메시지입니다.
2024-11-22 14:47:11.140 | INFO     | __main__:<module>:4 - 정보 메시지입니다.
